StateAbbreviation,AreaCurrentPercent,AreaCurrent,PopulationCurrent,PopulationCurrentPercent,PercentChangeFromWAve,AreaChangeFromWAve,StatisticFormatID,USDMLevelID,USDMLevel,Name,AreaMiles,MapDate
CA,13.95,"22,060.35","7,992,160.94",21.45,0.00,0.00,2,2,D1  ,California,"158,147.87",2001-10-23
CA,14.64,"23,147.26","1,563,151.29",4.20,0.00,0.00,2,3,D2  ,California,"158,147.87",2001-10-23
CA,18.95,"29,963.30","801,818.45",2.15,0.00,0.00,2,4,D3  ,California,"158,147.87",2001-10-23
CA,22.84,"36,127.42","5,250,518.56",14.09,0.00,0.00,2,1,D0  ,California,"158,147.87",2001-10-30
CA,14.84,"23,464.52","8,045,509.43",21.60,0.00,0.00,2,2,D1  ,California,"158,147.87",2001-10-30
CA,14.47,"22,886.31","1,565,563.61",4.20,0.00,0.00,2,3,D2  ,California,"158,147.87",2001-10-30
CA,18.22,"28,820.08","746,057.64",2.00,0.00,0.00,2,4,D3  ,California,"158,147.87",2001-10-30
CA,22.84,"36,127.18","5,250,497.29",14.09,0.00,0.00,2,1,D0  ,California,"158,147.87",2001-11-06
CA,14.84,"23,464.57","8,045,504.36",21.60,0.00,0.00,2,2,D1  ,California,"158,147.87",2001-11-06
CA,14.47,"22,886.26","1,565,568.68",4.20,0.00,0.00,2,3,D2  ,California,"158,147.87",2001-11-06
CA,18.22,"28,820.08","746,057.64",2.00,0.00,0.00,2,4,D3  ,California,"158,147.87",2001-11-06
CA,22.84,"36,126.88","5,250,340.43",14.09,0.00,0.00,2,1,D0  ,California,"158,147.87",2001-11-13
CA,14.84,"23,464.87","8,045,667.13",21.60,0.00,0.00,2,2,D1  ,California,"158,147.87",2001-11-13
CA,14.47,"22,886.19","1,565,560.03",4.20,0.00,0.00,2,3,D2  ,California,"158,147.87",2001-11-13
CA,18.22,"28,820.15","746,060.38",2.00,0.00,0.00,2,4,D3  ,California,"158,147.87",2001-11-13
CA,22.84,"36,126.88","5,250,340.43",14.09,0.00,0.00,2,1,D0  ,California,"158,147.87",2001-11-20
CA,16.89,"26,707.93","8,115,818.13",21.79,0.00,0.00,2,2,D1  ,California,"158,147.87",2001-11-20
CA,12.42,"19,643.23","1,495,413.51",4.01,0.00,0.00,2,3,D2  ,California,"158,147.87",2001-11-20
CA,18.22,"28,820.06","746,055.91",2.00,0.00,0.00,2,4,D3  ,California,"158,147.87",2001-11-20
CA,13.97,"22,089.84","7,063,198.95",18.96,0.00,0.00,2,1,D0  ,California,"158,147.87",2001-11-27
CA,14.46,"22,866.31","4,670,614.99",12.54,0.00,0.00,2,2,D1  ,California,"158,147.87",2001-11-27
CA,13.06,"20,648.50","1,524,383.29",4.09,0.00,0.00,2,3,D2  ,California,"158,147.87",2001-11-27
CA,17.59,"27,814.93","717,112.00",1.92,0.00,0.00,2,4,D3  ,California,"158,147.87",2001-11-27
CA,19.84,"31,378.52","6,553,570.37",17.59,0.00,0.00,2,1,D0  ,California,"158,147.87",2001-12-04
