,Map Date,Drought Level,Population Current,Population Current %,Area Current,Area Current %,Area Miles
172,2001-10-23,D0  ,"5,251,154.37",14.1,"36,136.21",22.85,"158,147.87"
173,2001-10-23,D1  ,"7,992,160.94",21.45,"22,060.35",13.95,"158,147.87"
174,2001-10-23,D2  ,"1,563,151.29",4.2,"23,147.26",14.64,"158,147.87"
175,2001-10-23,D3  ,"801,818.45",2.15,"29,963.30",18.95,"158,147.87"
176,2001-10-30,D0  ,"5,250,518.56",14.09,"36,127.42",22.84,"158,147.87"
177,2001-10-30,D1  ,"8,045,509.43",21.6,"23,464.52",14.84,"158,147.87"
178,2001-10-30,D2  ,"1,565,563.61",4.2,"22,886.31",14.47,"158,147.87"
179,2001-10-30,D3  ,"746,057.64",2.0,"28,820.08",18.22,"158,147.87"
180,2001-11-06,D0  ,"5,250,497.29",14.09,"36,127.18",22.84,"158,147.87"
181,2001-11-06,D1  ,"8,045,504.36",21.6,"23,464.57",14.84,"158,147.87"
182,2001-11-06,D2  ,"1,565,568.68",4.2,"22,886.26",14.47,"158,147.87"
183,2001-11-06,D3  ,"746,057.64",2.0,"28,820.08",18.22,"158,147.87"
184,2001-11-13,D0  ,"5,250,340.43",14.09,"36,126.88",22.84,"158,147.87"
185,2001-11-13,D1  ,"8,045,667.13",21.6,"23,464.87",14.84,"158,147.87"
186,2001-11-13,D2  ,"1,565,560.03",4.2,"22,886.19",14.47,"158,147.87"
187,2001-11-13,D3  ,"746,060.38",2.0,"28,820.15",18.22,"158,147.87"
188,2001-11-20,D0  ,"5,250,340.43",14.09,"36,126.88",22.84,"158,147.87"
189,2001-11-20,D1  ,"8,115,818.13",21.79,"26,707.93",16.89,"158,147.87"
190,2001-11-20,D2  ,"1,495,413.51",4.01,"19,643.23",12.42,"158,147.87"
191,2001-11-20,D3  ,"746,055.91",2.0,"28,820.06",18.22,"158,147.87"
192,2001-11-27,D0  ,"7,063,198.95",18.96,"22,089.84",13.97,"158,147.87"
193,2001-11-27,D1  ,"4,670,614.99",12.54,"22,866.31",14.46,"158,147.87"
194,2001-11-27,D2  ,"1,524,383.29",4.09,"20,648.50",13.06,"158,147.87"
195,2001-11-27,D3  ,"717,112.00",1.92,"27,814.93",17.59,"158,147.87"
196,2001-12-04,D0  ,"6,553,570.37",17.59,"31,378.52",19.84,"158,147.87"
197,2001-12-04,D1  ,"1,643,858.13",4.41,"20,571.97",13.01,"158,147.87"
198,2001-12-04,D2  ,"775,318.85",2.08,"21,884.46",13.84,"158,147.87"
199,2001-12-04,D3  ,"167,594.07",0.45,"11,959.04",7.56,"158,147.87"
200,2001-12-11,D0  ,"4,560,176.77",12.24,"33,449.30",21.15,"158,147.87"
201,2001-12-11,D1  ,"1,552,247.60",4.17,"16,450.78",10.4,"158,147.87"
202,2001-12-11,D2  ,"799,472.15",2.15,"21,057.38",13.31,"158,147.87"
203,2001-12-11,D3  ,"98,649.00",0.26,"10,708.54",6.77,"158,147.87"
204,2001-12-18,D0  ,"4,143,959.57",11.12,"28,570.16",18.07,"158,147.87"
205,2001-12-18,D1  ,"1,618,043.48",4.34,"19,906.93",12.59,"158,147.87"
206,2001-12-18,D2  ,"794,751.75",2.13,"23,243.00",14.7,"158,147.87"
