Acres Burned,Latitude,Longitude,Incident Start
20.0,35.519723,-120.801074,2020-08-16T07:56:39Z
727.0,39.52452,-122.427358,2020-08-16T10:14:46Z
48088.0,36.60239,-121.62161,2020-08-16T14:56:54Z
1032648.0,39.776,-122.673,2020-08-16T20:37:26Z
705.0,39.29241,-121.100352,2020-08-17T08:00:32Z
275.0,39.555943,-122.5012461,2020-08-17T14:16:58Z
3000.0,34.438759,-118.758965,2020-08-17T17:08:40Z
14.0,38.840068,-120.876546,2020-08-17T20:06:44Z
86509.0,37.17162,-122.22275,2020-08-16T08:00:00Z
396624.0,37.439437,-121.30435,2020-08-16T09:25:25Z
6901.0,36.4463,-121.68181,2020-08-18T14:24:01Z
62.0,39.276,-123.013667,2020-08-18T15:27:56Z
1783.0,38.027921,-120.763258,2020-08-18T16:33:32Z
820.0,39.8174372,-123.2111007,2020-08-18T17:58:52Z
363220.0,38.48193,-122.14864,2020-08-17T08:00:00Z
19609.0,40.09571,-122.4393,2020-08-17T09:12:42Z
55.0,38.03106,-120.85258,2020-08-19T16:44:58Z
2857.0,37.813779,-120.312565,2020-08-20T14:26:08Z
45.0,33.454896,-117.328234,2020-08-20T16:18:49Z
143.0,37.18725,-121.68465,2020-08-21T14:36:08Z
29570.0,40.274,-120.757,2020-08-22T22:02:57Z
4929.0,38.018089,-122.836701,2020-08-18T14:27:00Z
53.0,35.4335197,-120.1243296,2020-08-25T16:29:58Z
567.0,40.773,-120.536,2020-08-26T08:03:48Z
9.0,38.8825,-121.10411,2020-08-26T13:37:15Z
290.0,34.65979,-118.36411,2020-08-28T16:21:25Z
400.0,37.08053,-119.88673,2020-08-30T11:11:55Z
